scenario_point,algorithm_name,metric,mean,std,p95,ci95,n
"TOTAL_TAGS=100,prefix_length=16",DRCT,collision_slots,157.880000,9.155438,175.000000,2.537758,50
"TOTAL_TAGS=100,prefix_length=16",DRCT,idle_slots,59.880000,9.155438,77.000000,2.537758,50
"TOTAL_TAGS=100,prefix_length=16",DRCT,total_energy_uj,966.542035,47.680633,1058.305413,13.216397,50
"TOTAL_TAGS=100,prefix_length=16",DRCT,energy_per_tag_uj,9.665420,0.476806,10.583054,0.132164,50
"TOTAL_TAGS=100,prefix_length=16",DRCT,total_reader_tx_energy_uj,15.470880,0.947655,17.152300,0.262677,50
"TOTAL_TAGS=100,prefix_length=16",DRCT,total_tag_tx_energy_uj,8.792320,0.149887,9.072800,0.041547,50
"TOTAL_TAGS=100,prefix_length=16",DRCT,total_listening_energy_uj,942.278835,46.837811,1032.425387,12.982779,50
"TOTAL_TAGS=100,prefix_length=16",DRCT,total_transmission_energy_uj,24.263200,0.993962,25.983975,0.275512,50
"TOTAL_TAGS=100,prefix_length=16",DRCT,total_bits,25320.080000,617.917564,26432.550000,171.278010,50
"TOTAL_TAGS=100,prefix_length=16",DRCT,avg_tag_bits,175.846400,2.997745,181.456000,0.830933,50
"TOTAL_TAGS=100,prefix_length=16",DRCT,avg_reader_bits,77.354400,4.738276,85.761500,1.313383,50
"TOTAL_TAGS=100,prefix_length=16",DRCT,avg_total_bits,253.200800,6.179176,264.325500,1.712780,50
"TOTAL_TAGS=100,prefix_length=16",DRCT,avg_query_efficiency,0.635431,0.035959,0.690164,0.009967,50
"TOTAL_TAGS=100,prefix_length=16",DRCT,peak_stack_depth,6.180000,0.595562,7.000000,0.165081,50
"TOTAL_TAGS=100,prefix_length=16",DRCT,avg_tag_responses,23.934800,0.195649,24.247500,0.054231,50
"TOTAL_TAGS=100,prefix_length=16",EAQ_CBB,total_protocol_time_ms,237.047375,5.508827,246.919937,1.526969,50
"TOTAL_TAGS=100,prefix_length=16",EAQ_CBB,throughput_tags_per_sec,422.081424,9.880974,438.174598,2.738866,50
"TOTAL_TAGS=100,prefix_length=16",EAQ_CBB,system_efficiency,0.543992,0.016986,0.571774,0.004708,50
"TOTAL_TAGS=100,prefix_length=16",EAQ_CBB,collision_slots,84.000000,5.685642,94.200000,1.575980,50
"TOTAL_TAGS=100,prefix_length=16",EAQ_CBB,idle_slots,0.000000,0.000000,0.000000,0.000000,50
"TOTAL_TAGS=100,prefix_length=16",EAQ_CBB,total_energy_uj,1228.016922,32.468276,1284.158662,8.999747,50
"TOTAL_TAGS=100,prefix_length=16",EAQ_CBB,total_listening_energy_uj,1190.060992,31.773453,1245.380412,8.807152,50
"TOTAL_TAGS=100,prefix_length=16",EAQ_CBB,total_transmission_energy_uj,37.955930,0.813612,39.343500,0.225522,50
"TOTAL_TAGS=100,prefix_length=16",EAQ_CBB,total_bits,27924.700000,775.807236,29149.200000,215.042795,50
"TOTAL_TAGS=100,prefix_length=16",EAQ_CBB,avg_tag_bits,119.289800,5.084126,127.368000,1.409248,50
"TOTAL_TAGS=100,prefix_length=16",EAQ_CBB,avg_reader_bits,159.957200,2.909464,165.228000,0.806462,50
"TOTAL_TAGS=100,prefix_length=16",EAQ_CBB,avg_total_bits,279.247000,7.758072,291.492000,2.150428,50
"TOTAL_TAGS=100,prefix_length=16",EAQ_CBB,avg_query_efficiency,1.196002,0.084039,1.335349,0.023294,50
"TOTAL_TAGS=100,prefix_length=16",EAQ_CBB,peak_stack_depth,27.500000,1.281740,30.000000,0.355280,50
"TOTAL_TAGS=100,prefix_length=16",EAQ_CBB,avg_tag_responses,3.810400,0.129630,4.022000,0.035932,50
"TOTAL_TAGS=100,prefix_length=16",EMDT,total_protocol_time_ms,129.791700,10.022864,144.936500,2.778196,50
"TOTAL_TAGS=100,prefix_length=16",EMDT,throughput_tags_per_sec,774.520341,54.037930,852.227560,14.978550,50
"TOTAL_TAGS=100,prefix_length=16",EMDT,system_efficiency,0.619800,0.063162,0.717700,0.017508,50
"TOTAL_TAGS=100,prefix_length=16",EMDT,collision_slots,48.460000,12.140689,63.950000,3.365227,50
"TOTAL_TAGS=100,prefix_length=16",EMDT,idle_slots,14.780000,7.495005,27.750000,2.077509,50
"TOTAL_TAGS=100,prefix_length=16",EMDT,total_energy_uj,659.978045,55.768465,742.322537,15.458230,50
"TOTAL_TAGS=100,prefix_length=16",EMDT,total_listening_energy_uj,647.901245,55.879159,729.762537,15.488913,50
"TOTAL_TAGS=100,prefix_length=16",EMDT,total_transmission_energy_uj,12.076800,0.419917,12.560000,0.116395,50
"TOTAL_TAGS=100,prefix_length=16",EMDT,total_bits,15589.440000,425.036669,15880.000000,117.814154,50
"TOTAL_TAGS=100,prefix_length=16",EMDT,avg_tag_bits,127.347200,3.164842,128.000000,0.877249,50
"TOTAL_TAGS=100,prefix_length=16",EMDT,avg_reader_bits,28.547200,1.536185,30.800000,0.425809,50
