TOTAL_TAGS,BINARY_LENGTH,scenario_label,id_distribution,scenario_point,ber,enable_refined_energy_model,enable_resource_monitoring,experiment_name,point_seed,algorithm_seed,total_protocol_time_us,total_reader_bits,total_tag_bits,total_steps,total_listening_energy_uj,total_transmission_energy_uj,total_energy_uj,identified_tags_count,success_slots,idle_slots,collision_slots,progressive_probe_count,signature_grouping_trigger_count,local_short_id_trigger_count,signature_groups_pruned,sparse_signature_groups,signature_marker_bits,signature_marker_tag_bits,signature_non_idle_marker_count,signature_collision_groups,signature_singleton_groups,low_d_fallback_count,suffix_signature_trigger_count,hash_short_id_round_count,hash_short_id_split_count,hash_short_id_collision_groups,hash_short_id_singleton_groups,max_signature_d,epc_verification_count,verify_fail_count,avg_tag_responses,small_cluster_guard_count,throughput_tags_per_sec,algorithm_name,run_id,peak_stack_depth,peak_unidentified_tags_count,min_tag_responses,max_tag_responses,drct_query_count,drct_r0_collision_count,drct_r1_collision_count,drct_r1_sedepth_increment_count,check_answer_alias_count,prefix_length,cluster_count,cluster_prefix_length,total_slots,system_efficiency,avg_tag_bits,avg_reader_bits,total_bits,avg_total_bits,avg_query_efficiency,total_protocol_time_ms,signature_grouping_trigger_count.1,sparse_signature_groups.1,signature_groups_pruned.1,signature_marker_tag_bits.1,signature_collision_groups.1,signature_singleton_groups.1,max_signature_d.1,total_reader_tx_energy_uj,total_tag_tx_energy_uj,energy_per_tag_uj,drct_random_check_count,drct_unresolved_stack_empty_count,channel_use_ratio
10000,96,prefix80,prefixed,scenario_label=prefix80,0.000000,True,True,formal_extended_baseline_screen,2635025427,3262476422,14682033.750000,985959.000000,847852.000000,31438,7322586.041750,2395.844000,7324981.885750,10000,10000,8662,8517,,,,,,,,,,,,,,,,,,,,5.060000,,681.104551,DQTA(k_max=3),7,27.000000,,,,,,,,,80.000000,,,27179,0.367931,84.785200,98.595900,1833811.000000,183.381100,1.174122,14682.033750,,,,,,,,,,,,,
10000,96,clustered,clustered,scenario_label=clustered,0.000000,True,True,formal_extended_baseline_screen,1710578268,2418101889,16209842.500000,910309.000000,5398321.000000,35092,8102762.715125,4519.778500,8107282.493625,10000,10000,11068,9349,,,,,,,,,,,,,,,,,,,,5.923100,,616.909140,DQTA(k_max=3),7,25.000000,,,,,,,,,,8.000000,64.000000,30417,0.328764,539.832100,91.030900,6308630.000000,630.863000,1.069633,16209.842500,,,,,,,,,,,,,
10000,96,random,random,scenario_label=random,0.000000,True,True,formal_extended_baseline_screen,3926250230,4130092648,16367456.250000,337637.000000,9088254.000000,34614,8205408.225125,5219.401000,8210627.626125,10000,10000,10686,9285,,,,,,,,,,,,,,,,,,,,5.154800,,610.968488,DQTA(k_max=3),8,27.000000,,,,,,,,,,,,29971,0.333656,908.825400,33.763700,9425891.000000,942.589100,1.077006,16367.456250,,,,,,,,,,,,,
10000,96,prefixed,prefixed,scenario_label=prefixed,0.000000,True,True,formal_extended_baseline_screen,834749396,3897855225,16187793.750000,785215.000000,4142529.000000,34758,8074030.082625,3641.694500,8077671.777125,10000,10000,10800,9305,,,,,,,,,,,,,,,,,,,,5.159700,,617.749408,DQTA(k_max=3),8,27.000000,,,,,,,,,48.000000,,,30105,0.332171,414.252900,78.521500,4927744.000000,492.774400,1.074691,16187.793750,,,,,,,,,,,,,
10000,96,prefix80,prefixed,scenario_label=prefix80,0.000000,True,True,formal_extended_baseline_screen,3619142060,2249967484,14714978.750000,989154.000000,848156.000000,31336,7405491.277125,2402.386000,7407893.663125,10000,10000,8521,8543,,,,,,,,,,,,,,,,,,,,5.067900,,679.579643,DQTA(k_max=3),8,27.000000,,,,,,,,,80.000000,,,27064,0.369495,84.815600,98.915400,1837310.000000,183.731000,1.170549,14714.978750,,,,,,,,,,,,,
10000,96,clustered,clustered,scenario_label=clustered,0.000000,True,True,formal_extended_baseline_screen,3961209957,2949379978,16110902.500000,904142.000000,4709129.000000,34813,8073710.000375,4162.848500,8077872.848875,10000,10000,10882,9287,,,,,,,,,,,,,,,,,,,,5.538900,,620.697692,DQTA(k_max=3),8,24.000000,,,,,,,,,,8.000000,64.000000,30169,0.331466,470.912900,90.414200,5613271.000000,561.327100,1.076774,16110.902500,,,,,,,,,,,,,
10000,96,random,random,scenario_label=random,0.000000,True,True,formal_extended_baseline_screen,58426829,1902826690,16424398.750000,339309.000000,9117609.000000,34878,8213362.772750,5237.422500,8218600.195250,10000,10000,10884,9329,,,,,,,,,,,,,,,,,,,,5.172800,,608.850294,DQTA(k_max=3),9,27.000000,,,,,,,,,,,,30213,0.330983,911.760900,33.930900,9456918.000000,945.691800,1.071926,16424.398750,,,,,,,,,,,,,
10000,96,prefixed,prefixed,scenario_label=prefixed,0.000000,True,True,formal_extended_baseline_screen,1183400892,2896168407,16132731.250000,780986.000000,4148291.000000,34918,8068460.538250,3636.117500,8072096.655750,10000,10000,11035,9255,,,,,,,,,,,,,,,,,,,,5.168100,,619.857843,DQTA(k_max=3),9,26.000000,,,,,,,,,48.000000,,,30290,0.330142,414.829100,78.098600,4929277.000000,492.927700,1.080497,16132.731250,,,,,,,,,,,,,
10000,96,prefix80,prefixed,scenario_label=prefix80,0.000000,True,True,formal_extended_baseline_screen,3771146367,1675873921,14717938.750000,988845.000000,847960.000000,31451,7404670.737125,2401.670000,7407072.407125,10000,10000,8639,8541,,,,,,,,,,,,,,,,,,,,5.066000,,679.442969,DQTA(k_max=3),9,28.000000,,,,,,,,,80.000000,,,27180,0.367918,84.796000,98.884500,1836805.000000,183.680500,1.170823,14717.938750,,,,,,,,,,,,,
10000,96,clustered,clustered,scenario_label=clustered,0.000000,True,True,formal_extended_baseline_screen,346261855,1619710973,16173128.750000,907792.000000,4462074.000000,35050,8129502.931625,4046.621000,8133549.552625,10000,10000,11065,9323,,,,,,,,,,,,,,,,,,,,5.419200,,618.309553,DQTA(k_max=3),9,27.000000,,,,,,,,,,8.000000,64.000000,30388,0.329077,446.207400,90.779200,5369866.000000,536.986600,1.072616,16173.128750,,,,,,,,,,,,,
10000,96,random,random,scenario_label=random,0.000000,True,True,formal_extended_baseline_screen,1020324588,2850122588,16410868.750000,338792.000000,9108505.000000,34869,8163995.722750,5231.836500,8169227.559250,10000,10000,10896,9315,,,,,,,,,,,,,,,,,,,,5.167300,,609.352262,DQTA(k_max=3),10,27.000000,,,,,,,,,,,,30211,0.331005,910.850500,33.879200,9447297.000000,944.729700,1.073537,16410.868750,,,,,,,,,,,,,
10000,96,prefixed,prefixed,scenario_label=prefixed,0.000000,True,True,formal_extended_baseline_screen,2061720330,551493223,16073011.250000,777856.000000,4142088.000000,34680,8018871.259375,3626.756000,8022498.015375,10000,10000,10851,9219,,,,,,,,,,,,,,,,,,,,5.158800,,622.160953,DQTA(k_max=3),10,27.000000,,,,,,,,,48.000000,,,30070,0.332557,414.208800,77.785600,4919944.000000,491.994400,1.084716,16073.011250,,,,,,,,,,,,,
10000,96,prefix80,prefixed,scenario_label=prefix80,0.000000,True,True,formal_extended_baseline_screen,1420417677,3620224974,14689707.500000,987642.000000,847814.000000,31208,7366839.185500,2399.191000,7369238.376500,10000,10000,8411,8531,,,,,,,,,,,,,,,,,,,,5.057900,,680.748749,DQTA(k_max=3),10,27.000000,,,,,,,,,80.000000,,,26942,0.371168,84.781400,98.764200,1835456.000000,183.545600,1.172196,14689.707500,,,,,,,,,,,,,
10000,96,clustered,clustered,scenario_label=clustered,0.000000,True,True,formal_extended_baseline_screen,4285535701,1670836595,16059601.250000,900176.000000,5394711.000000,34822,8059574.894625,4497.707500,8064072.602125,10000,10000,10945,9251,,,,,,,,,,,,,,,,,,,,5.911900,,622.680467,DQTA(k_max=3),10,26.000000,,,,,,,,,,8.000000,64.000000,30196,0.331170,539.471100,90.017600,6294887.000000,629.488700,1.080964,16059.601250,,,,,,,,,,,,,
10000,96,random,random,scenario_label=random,0.000000,True,True,formal_extended_baseline_screen,596195424,1050331745,16434835.000000,339403.000000,9113995.000000,34990,8249987.116875,5235.803500,8255222.920375,10000,10000,10990,9333,,,,,,,,,,,,,,,,,,,,5.170600,,608.463669,DQTA(k_max=3),11,27.000000,,,,,,,,,,,,30323,0.329783,911.399500,33.940300,9453398.000000,945.339800,1.071467,16434.835000,,,,,,,,,,,,,
10000,96,prefixed,prefixed,scenario_label=prefixed,0.000000,True,True,formal_extended_baseline_screen,2528955344,2552695300,16116342.500000,780521.000000,4146954.000000,34774,8054148.984500,3634.519000,8057783.503500,10000,10000,10900,9249,,,,,,,,,,,,,,,,,,,,5.166500,,620.488178,DQTA(k_max=3),11,28.000000,,,,,,,,,48.000000,,,30149,0.331686,414.695400,78.052100,4927475.000000,492.747500,1.081198,16116.342500,,,,,,,,,,,,,
10000,96,prefix80,prefixed,scenario_label=prefix80,0.000000,True,True,formal_extended_baseline_screen,4029019098,1446995764,14773566.250000,992595.000000,847817.000000,31581,7368127.987750,2409.098500,7370537.086250,10000,10000,8721,8573,,,,,,,,,,,,,,,,,,,,5.063600,,676.884635,DQTA(k_max=3),11,27.000000,,,,,,,,,80.000000,,,27294,0.366381,84.781700,99.259500,1840412.000000,184.041200,1.166453,14773.566250,,,,,,,,,,,,,
