scenario_point,algorithm_name,metric,mean,ci95,p95,n,mean_ci95
scenario_label=prefix64,DQTA(k_max=3),total_energy_uj,8058833.652358,12635.824721,8134780.419262,50,8058833.6524 +/- 12635.8247
scenario_label=prefix64,DRCT,total_energy_uj,11609090.590488,21704.718067,11740909.582456,50,11609090.5905 +/- 21704.7181
scenario_label=prefix64,EAQ_CBB,total_energy_uj,13697713.571623,12502.109044,13767814.464706,50,13697713.5716 +/- 12502.1090
scenario_label=prefix64,EMDT,total_energy_uj,6844176.241270,16013.317084,6932573.199950,50,6844176.2413 +/- 16013.3171
scenario_label=prefix64,HT_EEAC,total_energy_uj,46881305.619879,287006.780840,48628607.752043,50,46881305.6199 +/- 287006.7808
scenario_label=prefix64,LAPCT,total_energy_uj,14947227.200952,239.290268,14948299.480612,50,14947227.2010 +/- 239.2903
scenario_label=prefix64,NLHQT(n=2),total_energy_uj,5777058.692835,5213.147290,5803248.513312,50,5777058.6928 +/- 5213.1473
scenario_label=prefix64,SGCT,total_energy_uj,4399537.617108,12442.486851,4468596.771750,50,4399537.6171 +/- 12442.4869
scenario_label=prefix64,DQTA(k_max=3),total_protocol_time_ms,16091.059525,23.300953,16220.084625,50,16091.0595 +/- 23.3010
scenario_label=prefix64,DRCT,total_protocol_time_ms,23136.997450,35.724951,23350.704187,50,23136.9974 +/- 35.7250
scenario_label=prefix64,EAQ_CBB,total_protocol_time_ms,27373.911100,20.932754,27508.107750,50,27373.9111 +/- 20.9328
scenario_label=prefix64,EMDT,total_protocol_time_ms,13688.148300,28.977970,13838.736375,50,13688.1483 +/- 28.9780
scenario_label=prefix64,HT_EEAC,total_protocol_time_ms,79673.867550,441.753758,82266.246000,50,79673.8675 +/- 441.7538
scenario_label=prefix64,LAPCT,total_protocol_time_ms,29867.624600,0.329931,29869.167188,50,29867.6246 +/- 0.3299
scenario_label=prefix64,NLHQT(n=2),total_protocol_time_ms,11547.214950,8.828923,11599.115500,50,11547.2149 +/- 8.8289
scenario_label=prefix64,SGCT,total_protocol_time_ms,8735.725925,18.426887,8835.976500,50,8735.7259 +/- 18.4269
scenario_label=prefix72,DQTA(k_max=3),avg_total_bits,267.157858,0.160062,267.979345,50,267.1579 +/- 0.1601
scenario_label=prefix72,DRCT,avg_total_bits,522.885154,0.330344,524.619710,50,522.8852 +/- 0.3303
scenario_label=prefix72,EAQ_CBB,avg_total_bits,246.139358,0.210139,247.379210,50,246.1394 +/- 0.2101
scenario_label=prefix72,EMDT,avg_total_bits,172.184764,0.216061,173.471690,50,172.1848 +/- 0.2161
scenario_label=prefix72,HT_EEAC,avg_total_bits,699.410736,3.271611,716.064740,50,699.4107 +/- 3.2716
scenario_label=prefix72,LAPCT,avg_total_bits,399.892876,0.039065,400.052210,50,399.8929 +/- 0.0391
scenario_label=prefix72,NLHQT(n=2),avg_total_bits,130.672528,0.066373,130.987480,50,130.6725 +/- 0.0664
scenario_label=prefix72,SGCT,avg_total_bits,103.138006,0.170888,104.070280,50,103.1380 +/- 0.1709
scenario_label=prefix72,DQTA(k_max=3),system_efficiency,0.330915,0.000509,0.334012,50,0.3309 +/- 0.0005
scenario_label=prefix72,DRCT,system_efficiency,0.345690,0.000633,0.349466,50,0.3457 +/- 0.0006
scenario_label=prefix72,EAQ_CBB,system_efficiency,0.546697,0.000508,0.549342,50,0.5467 +/- 0.0005
scenario_label=prefix72,EMDT,system_efficiency,0.502346,0.001934,0.513607,50,0.5023 +/- 0.0019
scenario_label=prefix72,HT_EEAC,system_efficiency,0.062024,0.000333,0.064256,50,0.0620 +/- 0.0003
scenario_label=prefix72,LAPCT,system_efficiency,0.498968,0.000005,0.498977,50,0.4990 +/- 0.0000
scenario_label=prefix72,NLHQT(n=2),system_efficiency,0.354668,0.000291,0.356578,50,0.3547 +/- 0.0003
scenario_label=prefix72,SGCT,system_efficiency,0.840885,0.000969,0.846812,50,0.8409 +/- 0.0010
scenario_label=prefix72,DQTA(k_max=3),throughput_tags_per_sec,623.518433,0.785813,627.974376,50,623.5184 +/- 0.7858
scenario_label=prefix72,DRCT,throughput_tags_per_sec,416.170567,0.745507,420.601731,50,416.1706 +/- 0.7455
scenario_label=prefix72,EAQ_CBB,throughput_tags_per_sec,357.719785,0.325946,359.408373,50,357.7198 +/- 0.3259
scenario_label=prefix72,EMDT,throughput_tags_per_sec,731.126827,1.890764,741.917530,50,731.1268 +/- 1.8908
scenario_label=prefix72,HT_EEAC,throughput_tags_per_sec,126.498374,0.634026,130.726048,50,126.4984 +/- 0.6340
