scenario_point,algorithm_name,metric,mean,ci95,p95,n,mean_ci95
scenario_label=prefix72,SGCT(d6),total_bits,1728744.780000,1371.518700,1737719.650000,50,1728744.7800 +/- 1371.5187
scenario_label=prefix72,SGCT(d8),total_bits,1031432.800000,1577.823981,1040381.000000,50,1031432.8000 +/- 1577.8240
scenario_label=prefix72,SGCT(no_local_short_id),total_bits,1202731.680000,1678.130764,1212285.400000,50,1202731.6800 +/- 1678.1308
scenario_label=prefix72,SGCT(no_low_d_fallback),total_bits,1055313.000000,1692.271902,1064926.900000,50,1055313.0000 +/- 1692.2719
scenario_label=prefix72,SGCT(no_signature_grouping),total_bits,1281605.440000,1903.124898,1292308.000000,50,1281605.4400 +/- 1903.1249
scenario_label=prefix72,SGCT(no_suffix_extension),total_bits,1031432.800000,1577.823981,1040381.000000,50,1031432.8000 +/- 1577.8240
scenario_label=prefix72,SGCT,total_energy_uj,4035796.743323,8921.669549,4083036.759931,50,4035796.7433 +/- 8921.6695
scenario_label=prefix72,SGCT(d10),total_energy_uj,7687222.364072,8640.923754,7743685.605669,50,7687222.3641 +/- 8640.9238
scenario_label=prefix72,SGCT(d4),total_energy_uj,8332201.036730,13053.201496,8402146.122288,50,8332201.0367 +/- 13053.2015
scenario_label=prefix72,SGCT(d6),total_energy_uj,8112245.858285,12524.742066,8181721.892494,50,8112245.8583 +/- 12524.7421
scenario_label=prefix72,SGCT(d8),total_energy_uj,4046443.297920,11271.208234,4098069.040706,50,4046443.2979 +/- 11271.2082
scenario_label=prefix72,SGCT(no_local_short_id),total_energy_uj,4089310.536460,11439.854843,4141665.476856,50,4089310.5365 +/- 11439.8548
scenario_label=prefix72,SGCT(no_low_d_fallback),total_energy_uj,4205404.884190,12141.730394,4262866.315369,50,4205404.8842 +/- 12141.7304
scenario_label=prefix72,SGCT(no_signature_grouping),total_energy_uj,7566066.785475,16303.966043,7635024.537831,50,7566066.7855 +/- 16303.9660
scenario_label=prefix72,SGCT(no_suffix_extension),total_energy_uj,4046443.297920,11271.208234,4098069.040706,50,4046443.2979 +/- 11271.2082
scenario_label=prefix72,SGCT,total_protocol_time_ms,8022.051225,15.479270,8102.610000,50,8022.0512 +/- 15.4793
scenario_label=prefix72,SGCT(d10),total_protocol_time_ms,15153.083900,4.675579,15179.166500,50,15153.0839 +/- 4.6756
scenario_label=prefix72,SGCT(d4),total_protocol_time_ms,16654.580225,23.879669,16775.598625,50,16654.5802 +/- 23.8797
scenario_label=prefix72,SGCT(d6),total_protocol_time_ms,16216.434000,19.178908,16334.800875,50,16216.4340 +/- 19.1789
scenario_label=prefix72,SGCT(d8),total_protocol_time_ms,8042.589325,20.447448,8157.643687,50,8042.5893 +/- 20.4474
scenario_label=prefix72,SGCT(no_local_short_id),total_protocol_time_ms,8102.606325,20.752044,8219.458687,50,8102.6063 +/- 20.7520
scenario_label=prefix72,SGCT(no_low_d_fallback),total_protocol_time_ms,8364.072525,21.961073,8488.098813,50,8364.0725 +/- 21.9611
scenario_label=prefix72,SGCT(no_signature_grouping),total_protocol_time_ms,15078.694825,29.686764,15243.090562,50,15078.6948 +/- 29.6868
scenario_label=prefix72,SGCT(no_suffix_extension),total_protocol_time_ms,8042.589325,20.447448,8157.643687,50,8042.5893 +/- 20.4474
