scenario_point,algorithm_name,metric,mean,ci95,p95,n,mean_ci95
"scenario_label=dispersed,ber=0.0",LAPCT,system_efficiency,0.498974,0.000003,0.498977,50,0.4990 +/- 0.0000
"scenario_label=dispersed,ber=0.0",NLHQT(n=2),system_efficiency,0.378251,0.000184,0.379148,50,0.3783 +/- 0.0002
"scenario_label=dispersed,ber=0.0",SGCT,system_efficiency,0.933084,0.003069,0.951113,50,0.9331 +/- 0.0031
"scenario_label=dispersed,ber=0.0",DQTA(k_max=3),throughput_tags_per_sec,424.523841,23.341892,581.175030,50,424.5238 +/- 23.3419
"scenario_label=dispersed,ber=0.0",DRCT,throughput_tags_per_sec,177.129884,13.231211,259.124452,50,177.1299 +/- 13.2312
"scenario_label=dispersed,ber=0.0",EMDT,throughput_tags_per_sec,731.875090,1.600388,740.549066,50,731.8751 +/- 1.6004
"scenario_label=dispersed,ber=0.0",LAPCT,throughput_tags_per_sec,329.384850,0.574746,333.298723,50,329.3848 +/- 0.5747
"scenario_label=dispersed,ber=0.0",NLHQT(n=2),throughput_tags_per_sec,1089.444843,0.594656,1092.391027,50,1089.4448 +/- 0.5947
"scenario_label=dispersed,ber=0.0",SGCT,throughput_tags_per_sec,1501.698477,30.429656,1679.867803,50,1501.6985 +/- 30.4297
"scenario_label=dispersed,ber=0.0",DQTA(k_max=3),total_bits,7018041.460000,310913.519480,8991523.150000,50,7018041.4600 +/- 310913.5195
"scenario_label=dispersed,ber=0.0",DRCT,total_bits,7924306.280000,323880.950988,10023197.700000,50,7924306.2800 +/- 323880.9510
"scenario_label=dispersed,ber=0.0",EMDT,total_bits,1721618.000000,2018.932149,1731878.700000,50,1721618.0000 +/- 2018.9321
"scenario_label=dispersed,ber=0.0",LAPCT,total_bits,4900716.940000,98978.088172,5442896.750000,50,4900716.9400 +/- 98978.0882
"scenario_label=dispersed,ber=0.0",NLHQT(n=2),total_bits,1381233.260000,7555.112459,1401030.200000,50,1381233.2600 +/- 7555.1125
"scenario_label=dispersed,ber=0.0",SGCT,total_bits,1170383.200000,27732.151982,1328607.000000,50,1170383.2000 +/- 27732.1520
"scenario_label=dispersed,ber=0.0",DQTA(k_max=3),total_energy_uj,12218733.145605,608124.333783,15361237.578881,50,12218733.1456 +/- 608124.3338
"scenario_label=dispersed,ber=0.0",DRCT,total_energy_uj,30367167.410355,2291537.510138,45360038.905055,50,30367167.4104 +/- 2291537.5101
"scenario_label=dispersed,ber=0.0",EMDT,total_energy_uj,6835136.187055,17977.662291,6928800.803538,50,6835136.1871 +/- 17977.6623
"scenario_label=dispersed,ber=0.0",LAPCT,total_energy_uj,15194119.307378,26480.368724,15342784.838744,50,15194119.3074 +/- 26480.3687
"scenario_label=dispersed,ber=0.0",NLHQT(n=2),total_energy_uj,4592994.159310,3013.288309,4610795.916025,50,4592994.1593 +/- 3013.2883
"scenario_label=dispersed,ber=0.0",SGCT,total_energy_uj,3378184.839162,66386.446080,3677896.623475,50,3378184.8392 +/- 66386.4461
"scenario_label=dispersed,ber=0.0",DQTA(k_max=3),total_protocol_time_ms,24393.194500,1214.490532,30677.065750,50,24393.1945 +/- 1214.4905
"scenario_label=dispersed,ber=0.0",DRCT,total_protocol_time_ms,60645.088025,4587.134360,90626.948750,50,60645.0880 +/- 4587.1344
