TOTAL_TAGS,BINARY_LENGTH,scenario_label,id_distribution,scenario_point,enable_refined_energy_model,enable_resource_monitoring,ber,experiment_name,point_seed,algorithm_seed,total_protocol_time_us,total_reader_bits,total_tag_bits,total_steps,total_listening_energy_uj,total_transmission_energy_uj,total_energy_uj,identified_tags_count,success_slots,idle_slots,collision_slots,progressive_probe_count,signature_grouping_trigger_count,local_short_id_trigger_count,signature_groups_pruned,sparse_signature_groups,signature_marker_bits,signature_marker_tag_bits,signature_non_idle_marker_count,signature_collision_groups,signature_singleton_groups,low_d_fallback_count,suffix_signature_trigger_count,hash_short_id_round_count,hash_short_id_split_count,hash_short_id_collision_groups,hash_short_id_singleton_groups,max_signature_d,epc_verification_count,verify_fail_count,avg_tag_responses,small_cluster_guard_count,throughput_tags_per_sec,algorithm_name,run_id,peak_stack_depth,peak_unidentified_tags_count,drct_query_count,drct_r0_collision_count,drct_r1_collision_count,drct_r1_sedepth_increment_count,check_answer_alias_count,prefix_length,cluster_count,cluster_prefix_length,total_slots,system_efficiency,avg_tag_bits,avg_reader_bits,total_bits,avg_total_bits,avg_query_efficiency,total_protocol_time_ms,total_reader_tx_energy_uj,total_tag_tx_energy_uj,energy_per_tag_uj,drct_random_check_count,drct_unresolved_stack_empty_count,channel_use_ratio
10000,96,prefix80,prefixed,"scenario_label=prefix80,ber=0.001",True,True,0.001000,formal_sgct_ber_robustness,840900958,1754056614,14678640.000000,985354.000000,847958.000000,31503,7402372.834000,2394.687000,7404767.521000,10000,10000,8739,8512,,,,,,,,,,,,,,,,,,,,5.062400,,681.262024,DQTA(k_max=3),39,27.000000,,,,,,,80.000000,,,27251,0.366959,84.795800,98.535400,1833312.000000,183.331200,1.174812,14678.640000,,,,,,
10000,96,clustered,clustered,"scenario_label=clustered,ber=0.0",True,True,0.000000,formal_sgct_ber_robustness,2734147611,2344469123,16032488.750000,898360.000000,5404180.000000,34822,8055894.526625,4498.810000,8060393.336625,10000,10000,10975,9231,,,,,,,,,,,,,,,,,,,,5.917100,,623.733480,DQTA(k_max=3),39,26.000000,,,,,,,,8.000000,64.000000,30206,0.331060,540.418000,89.836000,6302540.000000,630.254000,1.083306,16032.488750,,,,,,
10000,96,clustered,clustered,"scenario_label=clustered,ber=1e-05",True,True,0.000010,formal_sgct_ber_robustness,1085918136,561435025,16091576.250000,902904.000000,5375006.000000,34765,8052987.659250,4493.311000,8057480.970250,10000,10000,10851,9276,,,,,,,,,,,,,,,,,,,,5.913800,,621.443160,DQTA(k_max=3),39,26.000000,,,,,,,,8.000000,64.000000,30127,0.331928,537.500600,90.290400,6277910.000000,627.791000,1.078051,16091.576250,,,,,,
10000,96,clustered,clustered,"scenario_label=clustered,ber=0.0001",True,True,0.000100,formal_sgct_ber_robustness,1465759503,4077938341,16176740.000000,908100.000000,5595704.000000,35104,8075390.231250,4614.052000,8080004.283250,10000,10000,11130,9322,,,,,,,,,,,,,,,,,,,,6.044100,,618.171523,DQTA(k_max=3),39,24.000000,,,,,,,,8.000000,64.000000,30452,0.328386,559.570400,90.810000,6503804.000000,650.380400,1.072731,16176.740000,,,,,,
10000,96,clustered,clustered,"scenario_label=clustered,ber=0.001",True,True,0.001000,formal_sgct_ber_robustness,3362930724,2669393433,16449008.750000,929063.000000,5354361.000000,35152,8258263.722375,4535.306500,8262799.028875,10000,10000,10997,9502,,,,,,,,,,,,,,,,,,,,5.931900,,607.939369,DQTA(k_max=3),39,28.000000,,,,,,,,8.000000,64.000000,30499,0.327880,535.436100,92.906300,6283424.000000,628.342400,1.052410,16449.008750,,,,,,
10000,96,random,random,"scenario_label=random,ber=0.0",True,True,0.000000,formal_sgct_ber_robustness,1011813701,1700698629,16359372.500000,336829.000000,9106040.000000,35010,8178433.468875,5226.678000,8183660.146875,10000,10000,11130,9253,,,,,,,,,,,,,,,,,,,,5.166300,,611.270389,DQTA(k_max=3),40,28.000000,,,,,,,,,,30383,0.329131,910.604000,33.682900,9442869.000000,944.286900,1.080731,16359.372500,,,,,,
10000,96,random,random,"scenario_label=random,ber=1e-05",True,True,0.000010,formal_sgct_ber_robustness,1720725827,1202176793,16423300.000000,339384.000000,9108433.000000,34952,8232834.174250,5232.984500,8238067.158750,10000,10000,10974,9320,,,,,,,,,,,,,,,,,,,,5.167700,,608.891027,DQTA(k_max=3),40,28.000000,,,,,,,,,,30294,0.330098,910.843300,33.938400,9447817.000000,944.781700,1.072961,16423.300000,,,,,,
10000,96,random,random,"scenario_label=random,ber=0.0001",True,True,0.000100,formal_sgct_ber_robustness,4100377869,1379699545,16543331.250000,349214.000000,9115002.000000,35129,8295328.539125,5255.929000,8300584.468125,10000,10000,11098,9385,,,,,,,,,,,,,,,,,,,,5.181000,,604.473177,DQTA(k_max=3),40,27.000000,,,,,,,,,,30483,0.328052,911.500200,34.921400,9464216.000000,946.421600,1.065530,16543.331250,,,,,,
10000,96,random,random,"scenario_label=random,ber=0.001",True,True,0.001000,formal_sgct_ber_robustness,3726388266,1969837368,17608216.250000,431580.000000,9113539.000000,35567,8781272.153875,5419.929500,8786692.083375,10000,10000,10856,10073,,,,,,,,,,,,,,,,,,,,5.250400,,567.916696,DQTA(k_max=3),40,28.000000,,,,,,,,,,30929,0.323321,911.353900,43.158000,9545119.000000,954.511900,0.992753,17608.216250,,,,,,
10000,96,prefix80,prefixed,"scenario_label=prefix80,ber=0.0",True,True,0.000000,formal_sgct_ber_robustness,1421337357,3936510178,14742846.250000,990487.000000,848630.000000,31482,7389197.469500,2405.289000,7391602.758500,10000,10000,8646,8557,,,,,,,,,,,,,,,,,,,,5.067800,,678.295075,DQTA(k_max=3),40,30.000000,,,,,,,80.000000,,,27203,0.367607,84.863000,99.048700,1839117.000000,183.911700,1.168634,14742.846250,,,,,,
