TOTAL_TAGS,BINARY_LENGTH,scenario_label,id_distribution,scenario_point,ber,enable_refined_energy_model,enable_resource_monitoring,experiment_name,point_seed,algorithm_seed,total_protocol_time_us,total_reader_bits,total_tag_bits,total_steps,total_listening_energy_uj,total_transmission_energy_uj,total_energy_uj,identified_tags_count,success_slots,idle_slots,collision_slots,progressive_probe_count,signature_grouping_trigger_count,local_short_id_trigger_count,signature_groups_pruned,sparse_signature_groups,signature_marker_bits,signature_marker_tag_bits,signature_non_idle_marker_count,signature_collision_groups,signature_singleton_groups,low_d_fallback_count,suffix_signature_trigger_count,hash_short_id_round_count,hash_short_id_split_count,hash_short_id_collision_groups,hash_short_id_singleton_groups,max_signature_d,epc_verification_count,verify_fail_count,avg_tag_responses,small_cluster_guard_count,throughput_tags_per_sec,algorithm_name,run_id,peak_stack_depth,peak_unidentified_tags_count,drct_query_count,drct_r0_collision_count,drct_r1_collision_count,drct_r1_sedepth_increment_count,check_answer_alias_count,prefix_length,cluster_count,cluster_prefix_length,total_slots,system_efficiency,avg_tag_bits,avg_reader_bits,total_bits,avg_total_bits,avg_query_efficiency,total_protocol_time_ms,total_reader_tx_energy_uj,total_tag_tx_energy_uj,energy_per_tag_uj,drct_random_check_count,drct_unresolved_stack_empty_count,channel_use_ratio
10000,96,sequential,sequential,scenario_label=sequential,0.000000,True,True,formal_experiment10_algorithm_comparison,4014819932,2348395233,9760685.000000,670128.000000,659744.000000,18588,4896178.559000,1670.128000,4897848.687000,10000,10000,3,5723,,,,,,,,,,,,,,,,,,,,4.998400,,1024.518259,DQTA(k_max=3),3,25.000000,,,,,,,,,,15726,0.635890,65.974400,67.012800,1329872.000000,132.987200,1.747335,9760.685000,,,,,,
10000,96,clustered,clustered,scenario_label=clustered,0.000000,True,True,formal_experiment10_algorithm_comparison,3211323854,3047656555,16006473.750000,895943.000000,5378198.000000,34892,7964242.779500,4480.985000,7968723.764500,10000,10000,11078,9209,,,,,,,,,,,,,,,,,,,,5.908000,,624.747221,DQTA(k_max=3),3,25.000000,,,,,,,,8.000000,64.000000,30287,0.330175,537.819800,89.594300,6274141.000000,627.414100,1.085894,16006.473750,,,,,,
10000,96,random,random,scenario_label=random,0.000000,True,True,formal_experiment10_algorithm_comparison,647249588,3511398213,16382766.250000,337544.000000,9095438.000000,34924,8207591.704500,5222.807000,8212814.511500,10000,10000,10999,9283,,,,,,,,,,,,,,,,,,,,5.159300,,610.397527,DQTA(k_max=3),4,28.000000,,,,,,,,,,30282,0.330229,909.543800,33.754400,9432982.000000,943.298200,1.077238,16382.766250,,,,,,
10000,96,prefixed,prefixed,scenario_label=prefixed,0.000000,True,True,formal_experiment10_algorithm_comparison,1849982546,1571641671,16190665.000000,785418.000000,4146054.000000,34775,8095007.495250,3643.863000,8098651.358250,10000,10000,10814,9307,,,,,,,,,,,,,,,,,,,,5.165000,,617.639856,DQTA(k_max=3),4,27.000000,,,,,,,48.000000,,,30121,0.331994,414.605400,78.541800,4931472.000000,493.147200,1.074460,16190.665000,,,,,,
10000,96,prefix64,prefixed,scenario_label=prefix64,0.000000,True,True,formal_experiment10_algorithm_comparison,4123678274,2017595338,16026647.500000,925426.000000,2492098.000000,35158,8027254.027500,3096.901000,8030350.928500,10000,10000,11323,9223,,,,,,,,,,,,,,,,,,,,5.160400,,623.960813,DQTA(k_max=3),4,27.000000,,,,,,,64.000000,,,30546,0.327375,249.209800,92.542600,3417524.000000,341.752400,1.084246,16026.647500,,,,,,
10000,96,prefix72,prefixed,scenario_label=prefix72,0.000000,True,True,formal_experiment10_algorithm_comparison,647941119,2182106877,16076291.250000,1008144.000000,1666899.000000,34698,8049606.825250,2849.737500,8052456.562750,10000,10000,10743,9303,,,,,,,,,,,,,,,,,,,,5.162500,,622.034015,DQTA(k_max=3),4,29.000000,,,,,,,72.000000,,,30046,0.332823,166.689900,100.814400,2675043.000000,267.504300,1.074922,16076.291250,,,,,,
10000,96,prefix80,prefixed,scenario_label=prefix80,0.000000,True,True,formal_experiment10_algorithm_comparison,2084925728,597017096,14683248.750000,986324.000000,847610.000000,31404,7307420.919250,2396.453000,7309817.372250,10000,10000,8625,8519,,,,,,,,,,,,,,,,,,,,5.061300,,681.048191,DQTA(k_max=3),4,28.000000,,,,,,,80.000000,,,27144,0.368406,84.761000,98.632400,1833934.000000,183.393400,1.173847,14683.248750,,,,,,
10000,96,dispersed,dispersed,scenario_label=dispersed,0.000000,True,True,formal_experiment10_algorithm_comparison,4016991929,2902580849,19468471.250000,1270573.000000,6351318.000000,29844,9726786.463375,5716.805000,9732503.268375,10000,10000,2028,11877,,,,,,,,,,,,,,,,,,,,10.904600,,513.651014,DQTA(k_max=3),4,15.000000,,,,,,,,,,23905,0.418323,635.131800,127.057300,7621891.000000,762.189100,0.841963,19468.471250,,,,,,
10000,96,sequential,sequential,scenario_label=sequential,0.000000,True,True,formal_experiment10_algorithm_comparison,1147041799,3691887837,9760685.000000,670128.000000,659744.000000,18588,4896178.559000,1670.128000,4897848.687000,10000,10000,3,5723,,,,,,,,,,,,,,,,,,,,4.998400,,1024.518259,DQTA(k_max=3),4,25.000000,,,,,,,,,,15726,0.635890,65.974400,67.012800,1329872.000000,132.987200,1.747335,9760.685000,,,,,,
10000,96,clustered,clustered,scenario_label=clustered,0.000000,True,True,formal_experiment10_algorithm_comparison,1157746636,1972527811,16292127.500000,914827.000000,5150226.000000,35380,8169710.760750,4404.767000,8174115.527750,10000,10000,11284,9397,,,,,,,,,,,,,,,,,,,,5.798100,,613.793380,DQTA(k_max=3),4,26.000000,,,,,,,,8.000000,64.000000,30681,0.325935,515.022600,91.482700,6065053.000000,606.505300,1.064169,16292.127500,,,,,,
10000,96,random,random,scenario_label=random,0.000000,True,True,formal_experiment10_algorithm_comparison,2154945588,93578957,16379660.000000,337752.000000,9108927.000000,34871,8215601.596000,5229.967500,8220831.563500,10000,10000,10946,9283,,,,,,,,,,,,,,,,,,,,5.167800,,610.513283,DQTA(k_max=3),5,28.000000,,,,,,,,,,30229,0.330808,910.892700,33.775200,9446679.000000,944.667900,1.077238,16379.660000,,,,,,
10000,96,prefixed,prefixed,scenario_label=prefixed,0.000000,True,True,formal_experiment10_algorithm_comparison,2243686180,2466379348,16255921.250000,788824.000000,4147289.000000,35020,8147999.352250,3651.292500,8151650.644750,10000,10000,10999,9347,,,,,,,,,,,,,,,,,,,,5.167000,,615.160460,DQTA(k_max=3),5,26.000000,,,,,,,48.000000,,,30346,0.329533,414.728900,78.882400,4936113.000000,493.611300,1.069862,16255.921250,,,,,,
10000,96,prefix64,prefixed,scenario_label=prefix64,0.000000,True,True,formal_experiment10_algorithm_comparison,295811869,222937784,16170985.000000,936957.000000,2494222.000000,35000,8104809.467500,3121.025000,8107930.492500,10000,10000,11000,9333,,,,,,,,,,,,,,,,,,,,5.167800,,618.391520,DQTA(k_max=3),5,28.000000,,,,,,,64.000000,,,30333,0.329674,249.422200,93.695700,3431179.000000,343.117900,1.071467,16170.985000,,,,,,
10000,96,prefix72,prefixed,scenario_label=prefix72,0.000000,True,True,formal_experiment10_algorithm_comparison,617202740,2342771461,16082405.000000,1008212.000000,1667923.000000,34867,8027111.579250,2850.385500,8029961.964750,10000,10000,10918,9299,,,,,,,,,,,,,,,,,,,,5.171900,,621.797548,DQTA(k_max=3),5,28.000000,,,,,,,72.000000,,,30217,0.330940,166.792300,100.821200,2676135.000000,267.613500,1.075384,16082.405000,,,,,,
