TOTAL_TAGS,BINARY_LENGTH,id_distribution,ber,enable_refined_energy_model,enable_resource_monitoring,experiment_name,point_seed,algorithm_seed,total_protocol_time_us,total_reader_bits,total_tag_bits,total_steps,total_listening_energy_uj,total_transmission_energy_uj,total_energy_uj,identified_tags_count,success_slots,idle_slots,collision_slots,progressive_probe_count,signature_grouping_trigger_count,local_short_id_trigger_count,signature_groups_pruned,sparse_signature_groups,signature_marker_bits,signature_marker_tag_bits,signature_non_idle_marker_count,signature_collision_groups,signature_singleton_groups,low_d_fallback_count,suffix_signature_trigger_count,hash_short_id_round_count,hash_short_id_split_count,hash_short_id_collision_groups,hash_short_id_singleton_groups,max_signature_d,epc_verification_count,verify_fail_count,avg_tag_responses,small_cluster_guard_count,throughput_tags_per_sec,algorithm_name,run_id,peak_stack_depth,ovg_trigger_count,hbmt_ovg_trigger_count,fallback_invocation_count,prefix_stagnation_trigger_count,prefix_stag_score_trigger_count,repeated_pattern_trigger_count,ovg_rehash_count,ovg_width_up_count,ovg_width_down_count,ovg_no_singleton_count,ovg_success_count,post_ovg_singleton_count,ovg_fallback_avoid_count,inspect_collision_count,fcw_cache_created_count,fcw_cache_hit_count,fcw_cache_hit_ratio,fcw_fast_path_count,fcw_width_up_count,fcw_width_down_count,adaptive_cbit_r4_count,multibit_fallback_count,mode_lock1_count,mode_lock2_count,mode_cbit_count,mode_pivot_count,mode_ovg_count,mode_fallback_count,fallback_invocation_ratio,min_tag_responses,max_tag_responses,peak_unidentified_tags_count,drct_query_count,drct_r0_collision_count,drct_r1_collision_count,drct_r1_sedepth_increment_count,check_answer_alias_count,drct_random_check_count,drct_unresolved_stack_empty_count,total_slots,system_efficiency,avg_tag_bits,avg_reader_bits,total_bits,avg_total_bits,avg_query_efficiency,total_protocol_time_ms,signature_grouping_trigger_count.1,sparse_signature_groups.1,signature_groups_pruned.1,signature_marker_tag_bits.1,signature_collision_groups.1,signature_singleton_groups.1,max_signature_d.1,total_reader_tx_energy_uj,total_tag_tx_energy_uj,energy_per_tag_uj,channel_use_ratio
5000,96,sequential,0.000000,True,True,formal_distribution_robustness,3972845376,618276362,5244477.500000,392122.000000,684924.000000,3368,1061655.764000,1126.706000,1062782.470000,5000,1562,0,1805,,,,,,,,,,,,,,,,,,,,10.714400,,953.383821,SD-CGQT,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.000000,23.000000,,,,,,,,,3367,0.463914,136.984800,78.424400,1077046.000000,215.409200,2.770083,5244.477500,,,,,,,,,,,
5000,96,dispersed,0.000000,True,True,formal_distribution_robustness,1168826164,3226574994,15263155.000000,1130236.000000,1875230.000000,11847,3819828.791375,3198.087000,3823026.878375,5000,5000,0,4999,,,,,,,,,,,,,,,,,,,,18.672000,,327.586269,SD-CGQT,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.000000,21.000000,,,,,,,,,9999,0.500050,375.046000,226.047200,3005466.000000,601.093200,1.000200,15263.155000,,,,,,,,,,,
5000,96,random,0.000000,True,True,formal_distribution_robustness,2345406318,2884966213,2386065.000000,89471.000000,1011911.000000,2758,525209.154000,684.897500,525894.051500,5000,1119,0,1583,,,,,,,,,,,,,,,,,,,,10.601200,,2095.500332,SD-CGQT,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.000000,27.000000,,,,,,,,,2702,0.414138,202.382200,17.894200,1101382.000000,220.276400,3.158560,2386.065000,,,,,,,,,,,
5000,96,prefixed,0.000000,True,True,formal_distribution_robustness,1248880867,2681048517,3359632.500000,212891.000000,819205.000000,2680,728866.616750,835.384500,729702.001250,5000,1088,0,1538,,,,,,,,,,,,,,,,,,,,10.464000,,1488.258016,SD-CGQT,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.000000,27.000000,,,,,,,,,2626,0.414318,163.841000,42.578200,1032096.000000,206.419200,3.250975,3359.632500,,,,,,,,,,,
5000,96,sequential,0.000000,True,True,formal_distribution_robustness,883223040,3764410404,5244477.500000,392122.000000,684924.000000,3368,1061655.764000,1126.706000,1062782.470000,5000,1562,0,1805,,,,,,,,,,,,,,,,,,,,10.714400,,953.383821,SD-CGQT,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.000000,23.000000,,,,,,,,,3367,0.463914,136.984800,78.424400,1077046.000000,215.409200,2.770083,5244.477500,,,,,,,,,,,
5000,96,dispersed,0.000000,True,True,formal_distribution_robustness,1644936692,1573632181,15085217.500000,1101766.000000,1996085.000000,13208,3774133.779500,3201.574500,3777335.354000,5000,5000,0,4999,,,,,,,,,,,,,,,,,,,,17.497600,,331.450309,SD-CGQT,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.000000,20.000000,,,,,,,,,9999,0.500050,399.217000,220.353200,3097851.000000,619.570200,1.000200,15085.217500,,,,,,,,,,,
5000,96,random,0.000000,True,True,formal_distribution_robustness,2598158464,3623679646,2392368.750000,89786.000000,1003441.000000,2768,531022.320250,681.292500,531703.612750,5000,1123,0,1597,,,,,,,,,,,,,,,,,,,,10.689600,,2089.978813,SD-CGQT,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.000000,26.000000,,,,,,,,,2720,0.412868,200.688200,17.957200,1093227.000000,218.645400,3.130870,2392.368750,,,,,,,,,,,
5000,96,prefixed,0.000000,True,True,formal_distribution_robustness,3584638671,2850353683,3269493.750000,207190.000000,807431.000000,2593,722524.671750,818.095500,723342.767250,5000,1056,0,1504,,,,,,,,,,,,,,,,,,,,10.272400,,1529.288747,SD-CGQT,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.000000,26.000000,,,,,,,,,2560,0.412500,161.486200,41.438000,1014621.000000,202.924200,3.324468,3269.493750,,,,,,,,,,,
5000,96,sequential,0.000000,True,True,formal_distribution_robustness,2645650038,1784263149,5244477.500000,392122.000000,684924.000000,3368,1061655.764000,1126.706000,1062782.470000,5000,1562,0,1805,,,,,,,,,,,,,,,,,,,,10.714400,,953.383821,SD-CGQT,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.000000,23.000000,,,,,,,,,3367,0.463914,136.984800,78.424400,1077046.000000,215.409200,2.770083,5244.477500,,,,,,,,,,,
5000,96,dispersed,0.000000,True,True,formal_distribution_robustness,1372107406,3765578786,15036430.000000,1093960.000000,2035228.000000,11123,3763354.036625,3205.534000,3766559.570625,5000,5000,0,4999,,,,,,,,,,,,,,,,,,,,15.042000,,332.525739,SD-CGQT,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.000000,18.000000,,,,,,,,,9999,0.500050,407.045600,218.792000,3129188.000000,625.837600,1.000200,15036.430000,,,,,,,,,,,
