experiment_name,algorithm_name,run_id,point_seed,algorithm_seed,TOTAL_TAGS
formal_main_scalability_uniform,DQTA(k_max=3),15,3805658138,3424061248,9000
formal_main_scalability_uniform,DQTA(k_max=3),15,1456006230,627446241,10000
formal_main_scalability_uniform,DQTA(k_max=3),16,1328103178,286546019,1000
formal_main_scalability_uniform,DQTA(k_max=3),16,1836523183,996806992,2000
formal_main_scalability_uniform,DQTA(k_max=3),16,3269119720,4194075373,3000
formal_main_scalability_uniform,DQTA(k_max=3),16,3956300972,1141381968,4000
formal_main_scalability_uniform,DQTA(k_max=3),16,1157311672,2982248021,5000
formal_main_scalability_uniform,DQTA(k_max=3),16,3719023918,3219692599,6000
formal_main_scalability_uniform,DQTA(k_max=3),16,321604108,3056211932,7000
formal_main_scalability_uniform,DQTA(k_max=3),16,3638494130,709087351,8000
formal_main_scalability_uniform,DQTA(k_max=3),16,1516990709,3424053164,9000
formal_main_scalability_uniform,DQTA(k_max=3),16,1005804360,66651723,10000
formal_main_scalability_uniform,DQTA(k_max=3),17,642195615,3851468020,1000
formal_main_scalability_uniform,DQTA(k_max=3),17,1436109306,350029726,2000
formal_main_scalability_uniform,DQTA(k_max=3),17,102679093,434043502,3000
formal_main_scalability_uniform,DQTA(k_max=3),17,2342976602,1693706449,4000
formal_main_scalability_uniform,DQTA(k_max=3),17,1097791659,2419157130,5000
formal_main_scalability_uniform,DQTA(k_max=3),17,1012031776,2975942166,6000
formal_main_scalability_uniform,DQTA(k_max=3),17,3414366693,1742693837,7000
formal_main_scalability_uniform,DQTA(k_max=3),17,2265754763,1462607501,8000
formal_main_scalability_uniform,DQTA(k_max=3),17,4097079967,245626244,9000
formal_main_scalability_uniform,DQTA(k_max=3),17,603058372,313541845,10000
formal_main_scalability_uniform,DQTA(k_max=3),18,3088362313,1918829835,1000
formal_main_scalability_uniform,DQTA(k_max=3),18,2914399055,3249785942,2000
formal_main_scalability_uniform,DQTA(k_max=3),18,4202824592,864362654,3000
formal_main_scalability_uniform,DQTA(k_max=3),18,2041912714,444816117,4000
formal_main_scalability_uniform,DQTA(k_max=3),18,2700945782,785772140,5000
